Driver,DriverNumber,Team,LapNumber,LapTime,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,FreshTyre,IsAccurate,TrackStatus,Deleted,DeletedReason,LapTimeSeconds,Sector1TimeSeconds,Sector2TimeSeconds,Sector3TimeSeconds
RUS,63,Mercedes,14,0 days 00:01:19.569000,5.0,,,0 days 00:00:26.349000,0 days 00:00:26.836000,0 days 00:00:26.384000,323.0,337.0,316.0,348.0,SOFT,2.0,True,True,1,,,79.569,26.349,26.836,26.384
RUS,63,Mercedes,15,0 days 00:01:45.739000,5.0,,0 days 01:09:25.111000,0 days 00:00:33.020000,0 days 00:00:34.483000,0 days 00:00:38.236000,291.0,310.0,,219.0,SOFT,3.0,True,False,1,,,105.739,33.02,34.483,38.236
RUS,63,Mercedes,16,,6.0,0 days 01:12:50.802000,,,0 days 00:00:35.630000,0 days 00:00:37.661000,273.0,266.0,318.0,241.0,SOFT,1.0,True,False,1,,,,,35.63,37.661
RUS,63,Mercedes,17,0 days 00:01:19.440000,6.0,,,0 days 00:00:26.296000,0 days 00:00:26.844000,0 days 00:00:26.300000,324.0,337.0,315.0,347.0,SOFT,2.0,True,True,1,,,79.44,26.296,26.844,26.3
RUS,63,Mercedes,18,,6.0,,0 days 01:17:49.253000,0 days 00:00:40.404000,0 days 00:00:37.241000,,203.0,239.0,,161.0,SOFT,3.0,True,False,1,,,,40.404,37.241,
LEC,16,Ferrari,1,,1.0,0 days 00:12:00.909000,,,0 days 00:00:35.449000,0 days 00:00:32.709000,302.0,298.0,315.0,179.0,SOFT,1.0,True,False,1,,,,,35.449,32.709
LEC,16,Ferrari,2,0 days 00:01:20.074000,1.0,,,0 days 00:00:26.468000,0 days 00:00:26.967000,0 days 00:00:26.639000,327.0,340.0,314.0,350.0,SOFT,2.0,True,True,1,,,80.074,26.468,26.967,26.639
LEC,16,Ferrari,3,0 days 00:01:48.237000,1.0,,0 days 00:16:57.665000,0 days 00:00:33.340000,0 days 00:00:34.781000,0 days 00:00:40.116000,275.0,264.0,,226.0,SOFT,3.0,True,False,1,,,108.237,33.34,34.781,40.116
LEC,16,Ferrari,4,,2.0,0 days 00:18:51.567000,,,0 days 00:00:35.263000,0 days 00:00:31.792000,301.0,278.0,316.0,89.0,SOFT,4.0,False,False,1,,,,,35.263,31.792
LEC,16,Ferrari,5,0 days 00:01:20.278000,2.0,,,0 days 00:00:26.529000,0 days 00:00:27.001000,0 days 00:00:26.748000,328.0,339.0,317.0,349.0,SOFT,5.0,False,True,1,,,80.278,26.529,27.001,26.748
