year,round,event_id,event_name,driver,driver_number,driver_name,team,position,q1,q2,q3
2010,6,2010-monte-carlo,Monaco Grand Prix,CHA,20,Karun Chandhok,HRT,23,0 days 00:01:19.559000,,
2010,6,2010-monte-carlo,Monaco Grand Prix,ALO,8,Fernando Alonso,Ferrari,24,,,
2010,7,2010-istanbul,Turkish Grand Prix,WEB,6,Mark Webber,Red Bull,1,0 days 00:01:27.500000,0 days 00:01:26.818000,0 days 00:01:26.295000
2010,7,2010-istanbul,Turkish Grand Prix,HAM,2,Lewis Hamilton,McLaren,2,0 days 00:01:27.667000,0 days 00:01:27.013000,0 days 00:01:26.433000
2010,7,2010-istanbul,Turkish Grand Prix,VET,5,Sebastian Vettel,Red Bull,3,0 days 00:01:27.067000,0 days 00:01:26.729000,0 days 00:01:26.760000
2010,7,2010-istanbul,Turkish Grand Prix,BUT,1,Jenson Button,McLaren,4,0 days 00:01:27.555000,0 days 00:01:27.277000,0 days 00:01:26.781000
2010,7,2010-istanbul,Turkish Grand Prix,MSC,3,Michael Schumacher,Mercedes,5,0 days 00:01:27.756000,0 days 00:01:27.438000,0 days 00:01:26.857000
2010,7,2010-istanbul,Turkish Grand Prix,ROS,4,Nico Rosberg,Mercedes,6,0 days 00:01:27.649000,0 days 00:01:27.141000,0 days 00:01:26.952000
2010,7,2010-istanbul,Turkish Grand Prix,KUB,11,Robert Kubica,Renault,7,0 days 00:01:27.766000,0 days 00:01:27.426000,0 days 00:01:27.039000
2010,7,2010-istanbul,Turkish Grand Prix,MAS,7,Felipe Massa,Ferrari,8,0 days 00:01:27.993000,0 days 00:01:27.200000,0 days 00:01:27.082000
2010,7,2010-istanbul,Turkish Grand Prix,PET,12,Vitaly Petrov,Renault,9,0 days 00:01:27.620000,0 days 00:01:27.387000,0 days 00:01:27.430000
2010,7,2010-istanbul,Turkish Grand Prix,KOB,23,Kamui Kobayashi,Sauber,10,0 days 00:01:28.158000,0 days 00:01:27.434000,0 days 00:01:28.122000
2010,7,2010-istanbul,Turkish Grand Prix,SUT,14,Adrian Sutil,Force India,11,0 days 00:01:27.951000,0 days 00:01:27.525000,
2010,7,2010-istanbul,Turkish Grand Prix,ALO,8,Fernando Alonso,Ferrari,12,0 days 00:01:27.857000,0 days 00:01:27.612000,
2010,7,2010-istanbul,Turkish Grand Prix,DLR,22,Pedro de la Rosa,Sauber,13,0 days 00:01:28.147000,0 days 00:01:27.879000,
2010,7,2010-istanbul,Turkish Grand Prix,BUE,16,Sébastien Buemi,Toro Rosso,14,0 days 00:01:28.534000,0 days 00:01:28.273000,
2010,7,2010-istanbul,Turkish Grand Prix,BAR,9,Rubens Barrichello,Williams,15,0 days 00:01:28.336000,0 days 00:01:28.392000,
2010,7,2010-istanbul,Turkish Grand Prix,ALG,17,Jaime Alguersuari,Toro Rosso,16,0 days 00:01:28.460000,0 days 00:01:28.540000,
2010,7,2010-istanbul,Turkish Grand Prix,HUL,10,Nico Hülkenberg,Williams,17,0 days 00:01:28.227000,0 days 00:01:28.841000,
2010,7,2010-istanbul,Turkish Grand Prix,LIU,15,Vitantonio Liuzzi,Force India,18,0 days 00:01:28.958000,,
2010,7,2010-istanbul,Turkish Grand Prix,TRU,18,Jarno Trulli,Lotus,19,0 days 00:01:30.237000,,
2010,7,2010-istanbul,Turkish Grand Prix,KOV,19,Heikki Kovalainen,Lotus,20,0 days 00:01:30.519000,,
2010,7,2010-istanbul,Turkish Grand Prix,GLO,24,Timo Glock,Virgin,21,0 days 00:01:30.744000,,
2010,7,2010-istanbul,Turkish Grand Prix,SEN,21,Bruno Senna,HRT,22,0 days 00:01:31.266000,,
2010,7,2010-istanbul,Turkish Grand Prix,DIG,25,Lucas di Grassi,Virgin,23,0 days 00:01:31.989000,,
2010,7,2010-istanbul,Turkish Grand Prix,CHA,20,Karun Chandhok,HRT,24,0 days 00:01:32.060000,,
2010,8,2010-montreal,Canadian Grand Prix,HAM,2,Lewis Hamilton,McLaren,1,0 days 00:01:15.889000,0 days 00:01:15.528000,0 days 00:01:15.105000
2010,8,2010-montreal,Canadian Grand Prix,WEB,6,Mark Webber,Red Bull,2,0 days 00:01:16.423000,0 days 00:01:15.692000,0 days 00:01:15.373000
2010,8,2010-montreal,Canadian Grand Prix,VET,5,Sebastian Vettel,Red Bull,3,0 days 00:01:16.129000,0 days 00:01:15.556000,0 days 00:01:15.420000
2010,8,2010-montreal,Canadian Grand Prix,ALO,8,Fernando Alonso,Ferrari,4,0 days 00:01:16.171000,0 days 00:01:15.597000,0 days 00:01:15.435000
2010,8,2010-montreal,Canadian Grand Prix,BUT,1,Jenson Button,McLaren,5,0 days 00:01:16.371000,0 days 00:01:15.742000,0 days 00:01:15.520000
2010,8,2010-montreal,Canadian Grand Prix,LIU,15,Vitantonio Liuzzi,Force India,6,0 days 00:01:17.086000,0 days 00:01:16.171000,0 days 00:01:15.648000
2010,8,2010-montreal,Canadian Grand Prix,MAS,7,Felipe Massa,Ferrari,7,0 days 00:01:16.673000,0 days 00:01:16.314000,0 days 00:01:15.688000
2010,8,2010-montreal,Canadian Grand Prix,KUB,11,Robert Kubica,Renault,8,0 days 00:01:16.370000,0 days 00:01:15.682000,0 days 00:01:15.715000
2010,8,2010-montreal,Canadian Grand Prix,SUT,14,Adrian Sutil,Force India,9,0 days 00:01:16.495000,0 days 00:01:16.295000,0 days 00:01:15.881000
2010,8,2010-montreal,Canadian Grand Prix,ROS,4,Nico Rosberg,Mercedes,10,0 days 00:01:16.350000,0 days 00:01:16.001000,0 days 00:01:16.071000
2010,8,2010-montreal,Canadian Grand Prix,BAR,9,Rubens Barrichello,Williams,11,0 days 00:01:16.880000,0 days 00:01:16.434000,
2010,8,2010-montreal,Canadian Grand Prix,HUL,10,Nico Hülkenberg,Williams,12,0 days 00:01:16.770000,0 days 00:01:16.438000,
